date,time,investigator,category,action,tool,query,result,evidence,status
2026-09-09,10:00,Afiss,Scoping,Définition du périmètre,N/A,NovaTech Defense,Périmètre et scénario définis,docs/scenario.md,Completed
2026-09-09,10:30,Afiss,Methodology,Définition de la méthode,N/A,Due diligence OSINT,Méthode de collecte validation et scoring définie,docs/methodology.md,Completed
2026-09-10,10:30,Afiss,Corporate,Analyse de la répartition du capital,Manual review,SRC-001,Actionnaires directs identifiés,evidence/corporate/SRC-001_novatech_cap_table.md,Completed
2026-09-10,10:45,Afiss,Corporate,Remontée de la chaîne de contrôle,Manual review,SRC-002,Asteria détenue à 65% par Meridian,evidence/corporate/SRC-002_asteria_record.md,Completed
2026-09-10,11:00,Afiss,Corporate,Vérification du niveau suivant de contrôle,Manual review,SRC-003,UBO final non établi dans le corpus,evidence/corporate/SRC-003_meridian_record.md,Completed
2026-09-10,11:15,Afiss,Governance,Création du finding F01,Analysis,SRC-001 SRC-002 SRC-003,Risque de transparence capitalistique documenté,investigation/findings.csv,Completed
2026-09-10,11:30,Afiss,Legal,Analyse d'un ancien contentieux fournisseur,Manual review,SRC-004,Litige commercial 2023-2024 identifié,evidence/legal/SRC-004_contentieux_fournisseur.md,Completed
2026-09-10,11:45,Afiss,Legal,Vérification de la clôture du dossier,Manual review,SRC-005,Accord transactionnel indiqué en 2024,evidence/legal/SRC-005_note_cloture_litige.md,Completed
2026-09-10,12:00,Afiss,Legal,Création du finding F02,Analysis,SRC-004 SRC-005,Risque juridique modéré documenté,investigation/findings.csv,Completed
2026-09-10,14:45,Afiss,Governance,Ajout du screening de tous les actionnaires,Analysis,SRC-001,Tous les actionnaires contrôlés au premier niveau; Asteria retenue pour approfondissement,docs/report.md,Completed
2026-09-10,15:00,Afiss,Cyber,Analyse de l’historique des sous-domaines,Passive corpus review,SRC-006 SRC-007,dev.novatech-defense.test identifié comme sous-domaine historique,evidence/cyber/SRC-006_ct_history.md,Completed
2026-09-10,15:10,Afiss,Cyber,Corroboration de la fonction du sous-domaine dev,Archive review,SRC-008,Archive simulée associée à NovaTech Development Portal,evidence/cyber/SRC-008_web_archive_dev.md,Completed
2026-09-10,15:20,Afiss,Cyber,Création du finding F03,Analysis,SRC-006 SRC-007 SRC-008,Risque cyber historique modéré documenté,investigation/findings.csv,Completed
